epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2162.26,0.00673,0.49662,0.77057,0.72011,0.71367,0.74479,0.5298,0.00814,0.48685,0.90791,0.000505495,0.000505495,0.000505495
101,2183.55,0.00671,0.49034,0.7709,0.76343,0.68472,0.74746,0.50875,0.00809,0.48341,0.91325,0.0005005,0.0005005,0.0005005
102,2204.74,0.00701,0.5459,0.78438,0.72928,0.72134,0.75431,0.52483,0.00777,0.48203,0.88599,0.000495505,0.000495505,0.000495505
103,2225.9,0.00694,0.52042,0.77631,0.76558,0.71227,0.7558,0.53898,0.00815,0.4948,0.9177,0.00049051,0.00049051,0.00049051
104,2248.21,0.00655,0.49737,0.76458,0.7951,0.68228,0.75194,0.52603,0.00791,0.48114,0.91205,0.000485515,0.000485515,0.000485515
105,2269.38,0.00686,0.45665,0.76187,0.81244,0.67041,0.75629,0.52099,0.00831,0.45187,0.92259,0.00048052,0.00048052,0.00048052
106,2290.49,0.00682,0.4832,0.74259,0.74822,0.71842,0.75427,0.50867,0.00841,0.49446,0.92335,0.000475525,0.000475525,0.000475525
107,2311.81,0.00686,0.48285,0.77335,0.79433,0.70438,0.76082,0.53666,0.00808,0.44921,0.89923,0.00047053,0.00047053,0.00047053
108,2333.08,0.0069,0.4846,0.76585,0.78339,0.69449,0.75319,0.5298,0.00812,0.45027,0.91171,0.000465535,0.000465535,0.000465535
109,2354.11,0.00699,0.46833,0.75667,0.76238,0.73175,0.76134,0.53098,0.00832,0.46023,0.94189,0.00046054,0.00046054,0.00046054
110,2375.43,0.00679,0.46792,0.76776,0.81531,0.69987,0.7569,0.51526,0.00775,0.45841,0.87985,0.000455545,0.000455545,0.000455545
111,2396.62,0.00682,0.45153,0.77409,0.78435,0.71563,0.76102,0.53485,0.00804,0.43264,0.88149,0.00045055,0.00045055,0.00045055
112,2417.88,0.00678,0.44799,0.7494,0.76053,0.72157,0.75947,0.49154,0.00844,0.46564,0.90247,0.000445555,0.000445555,0.000445555
113,2439.1,0.00666,0.46695,0.75901,0.73069,0.74071,0.75658,0.49639,0.00836,0.47983,0.9253,0.00044056,0.00044056,0.00044056
114,2460.36,0.00691,0.47399,0.76222,0.79517,0.69037,0.76034,0.51729,0.0084,0.44164,0.91589,0.000435565,0.000435565,0.000435565
115,2481.59,0.00673,0.46762,0.74209,0.69797,0.74677,0.74268,0.50449,0.00833,0.46739,0.93868,0.00043057,0.00043057,0.00043057
116,2502.77,0.00668,0.43345,0.74427,0.76324,0.72789,0.75973,0.52076,0.00806,0.45727,0.90583,0.000425575,0.000425575,0.000425575
117,2524.18,0.00654,0.46156,0.73765,0.78947,0.72493,0.75948,0.51692,0.00827,0.47354,0.93324,0.00042058,0.00042058,0.00042058
118,2545.27,0.00645,0.4606,0.74687,0.77711,0.72935,0.76252,0.51704,0.00824,0.43996,0.90046,0.000415585,0.000415585,0.000415585
119,2566.48,0.00648,0.42131,0.74214,0.75118,0.73508,0.76426,0.50582,0.00805,0.43044,0.92598,0.00041059,0.00041059,0.00041059
120,2587.52,0.00667,0.44428,0.76474,0.79666,0.71506,0.76259,0.52147,0.00805,0.44668,0.90855,0.000405595,0.000405595,0.000405595
121,2608.26,0.00655,0.4443,0.73736,0.78596,0.7332,0.76446,0.53506,0.00815,0.45526,0.90451,0.0004006,0.0004006,0.0004006
122,2629.14,0.00616,0.42424,0.72961,0.77886,0.72571,0.76586,0.54124,0.00805,0.41462,0.87685,0.000395605,0.000395605,0.000395605
123,2651.62,0.00647,0.4377,0.74924,0.72226,0.74126,0.76377,0.53519,0.0081,0.43294,0.90423,0.00039061,0.00039061,0.00039061
124,2673.24,0.00667,0.45155,0.74593,0.76897,0.73075,0.7563,0.51382,0.00811,0.45011,0.89258,0.000385615,0.000385615,0.000385615
125,2694.75,0.00678,0.49094,0.75649,0.74869,0.72432,0.76335,0.53543,0.00767,0.43364,0.86481,0.00038062,0.00038062,0.00038062
126,2715.99,0.00644,0.46449,0.74066,0.79579,0.70342,0.75466,0.52796,0.00784,0.43863,0.89053,0.000375625,0.000375625,0.000375625
127,2737.21,0.00635,0.4381,0.74642,0.78932,0.6934,0.75712,0.53717,0.0078,0.43226,0.88503,0.00037063,0.00037063,0.00037063
128,2758.49,0.00663,0.43647,0.73399,0.79367,0.72055,0.75826,0.53122,0.00792,0.44396,0.89178,0.000365635,0.000365635,0.000365635
129,2779.82,0.00632,0.43593,0.74895,0.80135,0.67199,0.75296,0.51531,0.0082,0.43728,0.92717,0.00036064,0.00036064,0.00036064
130,2801.08,0.00649,0.44786,0.74603,0.78836,0.70703,0.75785,0.53801,0.00785,0.42884,0.87337,0.000355645,0.000355645,0.000355645
131,2822.33,0.00605,0.4129,0.70508,0.77638,0.70954,0.75187,0.52933,0.00799,0.43997,0.89762,0.00035065,0.00035065,0.00035065
132,2843.37,0.00686,0.43486,0.74528,0.77865,0.72352,0.74751,0.53401,0.00781,0.45059,0.88001,0.000345655,0.000345655,0.000345655
133,2864.45,0.00654,0.44316,0.74775,0.77955,0.71602,0.7564,0.55582,0.00796,0.44066,0.89312,0.00034066,0.00034066,0.00034066
134,2886.5,0.00626,0.41587,0.73081,0.759,0.72691,0.75946,0.55553,0.00746,0.42752,0.85115,0.000335665,0.000335665,0.000335665
135,2908.42,0.00623,0.42586,0.73965,0.77173,0.72652,0.75981,0.52709,0.00793,0.45132,0.88107,0.00033067,0.00033067,0.00033067
136,2929.72,0.00642,0.43046,0.75356,0.7757,0.70716,0.76421,0.56134,0.00772,0.44751,0.87483,0.000325675,0.000325675,0.000325675
137,2952,0.00626,0.44286,0.7517,0.77349,0.71506,0.76561,0.56633,0.00729,0.40968,0.83531,0.00032068,0.00032068,0.00032068
138,2974.56,0.00632,0.43709,0.73659,0.77722,0.72032,0.76583,0.55794,0.00747,0.39926,0.84092,0.000315685,0.000315685,0.000315685
139,2995.78,0.00609,0.39215,0.72192,0.75276,0.7332,0.75831,0.57346,0.00757,0.39871,0.85274,0.00031069,0.00031069,0.00031069
140,3017.98,0.00635,0.40359,0.71481,0.76969,0.71963,0.76252,0.55093,0.00764,0.44758,0.86071,0.000305695,0.000305695,0.000305695
141,3039,0.00628,0.41499,0.73305,0.77945,0.73645,0.76242,0.5427,0.00788,0.44546,0.87059,0.0003007,0.0003007,0.0003007
142,3060.45,0.00616,0.39249,0.72386,0.77947,0.72437,0.75846,0.54403,0.00747,0.39755,0.85816,0.000295705,0.000295705,0.000295705
143,3081.81,0.0059,0.38714,0.71377,0.77314,0.72487,0.75418,0.54721,0.00761,0.42417,0.8683,0.00029071,0.00029071,0.00029071
144,3103.11,0.00611,0.42037,0.72349,0.78865,0.71525,0.7562,0.55475,0.00748,0.43363,0.86882,0.000285715,0.000285715,0.000285715
145,3124.32,0.00628,0.42669,0.72907,0.79348,0.7139,0.76585,0.55043,0.00754,0.41517,0.85697,0.00028072,0.00028072,0.00028072
146,3145.47,0.00603,0.3988,0.72155,0.8166,0.71847,0.76599,0.54534,0.00757,0.42081,0.86464,0.000275725,0.000275725,0.000275725
147,3166.6,0.00629,0.47369,0.74514,0.78482,0.7203,0.76075,0.53854,0.00766,0.43395,0.86464,0.00027073,0.00027073,0.00027073
148,3187.36,0.00609,0.42136,0.72552,0.78646,0.71692,0.76449,0.55485,0.00725,0.39718,0.85102,0.000265735,0.000265735,0.000265735
149,3208.74,0.00598,0.36902,0.7089,0.78938,0.73629,0.76271,0.53451,0.0078,0.42491,0.89841,0.00026074,0.00026074,0.00026074
150,3230.06,0.00632,0.42954,0.74342,0.80024,0.71877,0.76397,0.54521,0.00755,0.41885,0.8674,0.000255745,0.000255745,0.000255745
151,3251.29,0.00565,0.37592,0.69983,0.77766,0.73746,0.76238,0.55043,0.00741,0.37539,0.85378,0.00025075,0.00025075,0.00025075
152,3272.42,0.00591,0.39091,0.70924,0.78207,0.71668,0.75605,0.55327,0.00731,0.38676,0.8382,0.000245755,0.000245755,0.000245755
153,3293.8,0.00586,0.37474,0.71123,0.79094,0.71962,0.76014,0.54809,0.00772,0.40612,0.89455,0.00024076,0.00024076,0.00024076
154,3315.2,0.00591,0.37115,0.70708,0.76515,0.72394,0.75731,0.5378,0.00767,0.41876,0.87574,0.000235765,0.000235765,0.000235765
155,3336.46,0.00601,0.39646,0.72734,0.80592,0.72487,0.76513,0.56301,0.0074,0.41886,0.85993,0.00023077,0.00023077,0.00023077
156,3357.92,0.00582,0.38645,0.70784,0.8229,0.72113,0.76696,0.56882,0.00753,0.41255,0.85605,0.000225775,0.000225775,0.000225775
157,3379.24,0.00605,0.39704,0.72623,0.75482,0.71044,0.75284,0.55319,0.00742,0.41334,0.87266,0.00022078,0.00022078,0.00022078
158,3400.51,0.00605,0.37455,0.73027,0.794,0.72649,0.75834,0.53812,0.00761,0.38682,0.8727,0.000215785,0.000215785,0.000215785
159,3421.67,0.00554,0.36299,0.70076,0.78257,0.71827,0.7573,0.54053,0.00741,0.39089,0.8691,0.00021079,0.00021079,0.00021079
160,3442.63,0.00567,0.36682,0.70615,0.77614,0.71517,0.75877,0.52916,0.00746,0.40189,0.88183,0.000205795,0.000205795,0.000205795
161,3463.64,0.00578,0.36093,0.71231,0.80265,0.72325,0.76517,0.54774,0.00754,0.38795,0.86805,0.0002008,0.0002008,0.0002008
162,3484.88,0.00561,0.34951,0.70214,0.80097,0.72016,0.76447,0.55583,0.00743,0.37509,0.86521,0.000195805,0.000195805,0.000195805
163,3506.34,0.00565,0.375,0.70239,0.78417,0.72487,0.76226,0.56565,0.00753,0.37593,0.86442,0.00019081,0.00019081,0.00019081
164,3527.64,0.00593,0.3873,0.73672,0.78598,0.73345,0.76532,0.56662,0.00739,0.36917,0.85308,0.000185815,0.000185815,0.000185815
165,3548.86,0.00576,0.39628,0.69255,0.80602,0.72487,0.7659,0.55406,0.00758,0.37334,0.87967,0.00018082,0.00018082,0.00018082
166,3570.13,0.00552,0.35735,0.6891,0.76977,0.72325,0.76803,0.55882,0.00752,0.37659,0.86989,0.000175825,0.000175825,0.000175825
167,3591.39,0.00584,0.3654,0.71448,0.78517,0.72272,0.76194,0.54537,0.00754,0.38146,0.86347,0.00017083,0.00017083,0.00017083
168,3612.8,0.00548,0.36003,0.68789,0.78625,0.72487,0.76454,0.56134,0.00753,0.3801,0.85282,0.000165835,0.000165835,0.000165835
169,3634.09,0.00576,0.37365,0.69485,0.79724,0.72487,0.76429,0.5632,0.00744,0.35621,0.87822,0.00016084,0.00016084,0.00016084
170,3655.24,0.00601,0.40503,0.72155,0.78811,0.72487,0.76363,0.55742,0.00765,0.41694,0.87792,0.000155845,0.000155845,0.000155845
171,3676.54,0.00556,0.34594,0.68546,0.79486,0.70857,0.76474,0.55799,0.00749,0.38066,0.85913,0.00015085,0.00015085,0.00015085
172,3697.59,0.00558,0.35056,0.69443,0.76115,0.73685,0.76543,0.55422,0.00737,0.38093,0.8485,0.000145855,0.000145855,0.000145855
173,3718.7,0.0059,0.40662,0.71046,0.78489,0.71741,0.76583,0.55436,0.00751,0.38687,0.85201,0.00014086,0.00014086,0.00014086
174,3739.68,0.00524,0.34105,0.69306,0.76595,0.72487,0.76494,0.55732,0.00747,0.37993,0.85478,0.000135865,0.000135865,0.000135865
175,3760.63,0.00543,0.35555,0.70076,0.78674,0.72069,0.76447,0.54646,0.00757,0.37667,0.85827,0.00013087,0.00013087,0.00013087
176,3781.82,0.00521,0.35588,0.696,0.76867,0.73298,0.76245,0.5496,0.00745,0.3841,0.84855,0.000125875,0.000125875,0.000125875
177,3802.86,0.0054,0.36106,0.70128,0.72823,0.72758,0.75911,0.55672,0.0074,0.37972,0.85178,0.00012088,0.00012088,0.00012088
178,3823.97,0.00592,0.36818,0.70286,0.7679,0.69804,0.75908,0.55308,0.0074,0.39926,0.8502,0.000115885,0.000115885,0.000115885
179,3845.06,0.00543,0.38097,0.69926,0.7431,0.73001,0.75786,0.55922,0.00734,0.41094,0.85703,0.00011089,0.00011089,0.00011089
180,3866.24,0.00547,0.3384,0.68401,0.78,0.68562,0.76039,0.56132,0.00728,0.40932,0.8525,0.000105895,0.000105895,0.000105895
181,3887.45,0.00542,0.35611,0.68988,0.77531,0.68641,0.75725,0.56536,0.00716,0.41035,0.8348,0.0001009,0.0001009,0.0001009
182,3908.71,0.0055,0.35266,0.69174,0.79179,0.69826,0.75961,0.5651,0.00718,0.40912,0.84308,9.5905e-05,9.5905e-05,9.5905e-05
183,3929.89,0.00527,0.35071,0.67105,0.79797,0.70073,0.76301,0.56917,0.00732,0.40565,0.84949,9.091e-05,9.091e-05,9.091e-05
184,3951.17,0.00535,0.34466,0.69014,0.79975,0.69586,0.75995,0.56594,0.00744,0.40667,0.86227,8.5915e-05,8.5915e-05,8.5915e-05
185,3972.16,0.00541,0.33236,0.68035,0.75049,0.70933,0.75686,0.56018,0.0073,0.40214,0.84768,8.092e-05,8.092e-05,8.092e-05
186,3993.18,0.00531,0.32618,0.66475,0.7307,0.72815,0.75952,0.56014,0.00731,0.38663,0.85024,7.5925e-05,7.5925e-05,7.5925e-05
187,4014.08,0.00526,0.3297,0.68439,0.77764,0.70076,0.76173,0.57068,0.00712,0.3722,0.84587,7.093e-05,7.093e-05,7.093e-05
188,4035.21,0.0053,0.33543,0.6814,0.78042,0.70006,0.7634,0.57349,0.00721,0.37311,0.83985,6.5935e-05,6.5935e-05,6.5935e-05
189,4057.72,0.00521,0.33268,0.6827,0.78385,0.7086,0.76555,0.57275,0.00724,0.38009,0.83736,6.094e-05,6.094e-05,6.094e-05
190,4079.13,0.00548,0.36717,0.69921,0.77921,0.71456,0.76442,0.56706,0.00718,0.36923,0.83941,5.5945e-05,5.5945e-05,5.5945e-05
191,4101.14,0.00604,0.39164,0.72965,0.76629,0.7126,0.75855,0.55803,0.00729,0.37692,0.86252,5.095e-05,5.095e-05,5.095e-05
192,4122.06,0.0061,0.37526,0.71838,0.77587,0.70762,0.76072,0.55266,0.00729,0.37518,0.85371,4.5955e-05,4.5955e-05,4.5955e-05
193,4142.77,0.00601,0.33602,0.70997,0.77188,0.71969,0.76438,0.55853,0.00733,0.36736,0.86026,4.096e-05,4.096e-05,4.096e-05
194,4163.53,0.00567,0.32894,0.70383,0.76913,0.73034,0.76392,0.55999,0.00727,0.36533,0.85683,3.5965e-05,3.5965e-05,3.5965e-05
195,4184.32,0.00545,0.31801,0.6512,0.74512,0.73268,0.76398,0.56277,0.00719,0.36718,0.84809,3.097e-05,3.097e-05,3.097e-05
196,4205.04,0.0061,0.37147,0.69011,0.77455,0.72285,0.7667,0.57033,0.00721,0.36559,0.85222,2.5975e-05,2.5975e-05,2.5975e-05
197,4225.76,0.00583,0.30994,0.68734,0.7792,0.72198,0.76705,0.57208,0.00716,0.36063,0.84941,2.098e-05,2.098e-05,2.098e-05
198,4246.48,0.00529,0.31324,0.65011,0.78122,0.72097,0.76714,0.56776,0.00714,0.35606,0.84813,1.5985e-05,1.5985e-05,1.5985e-05
199,4266.96,0.00558,0.34987,0.64439,0.75131,0.7392,0.766,0.57182,0.00712,0.358,0.8493,1.099e-05,1.099e-05,1.099e-05
200,4287.55,0.0056,0.3251,0.6904,0.75135,0.73886,0.76603,0.57569,0.00712,0.35802,0.85084,5.995e-06,5.995e-06,5.995e-06
